Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
53,Vander Blue\blueva01,SG,25,LAL,5,0,45,0.8,4,0.2,0,1.6,0,0.8,2.4,0.333,0.8,1.6,0.5,0,0.8,0.8,2.4,0.8,0,2.4,1.6,2.4
54,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,78,53,2175,5.7,12.8,0.446,2.1,5.4,0.392,3.6,7.3,0.485,1.7,2,0.84,0.5,3.2,3.7,4.3,1.2,0.3,2.1,2.8,15.2
55,Bojan Bogdanovic\bogdabo02,SF,28,IND,80,80,2464,5.9,12.4,0.474,2.3,5.6,0.402,3.6,6.8,0.534,2.6,3,0.868,0.4,3.5,3.9,1.7,0.8,0.1,1.5,1.9,16.7
56,Andrew Bogut\bogutan01,C,33,LAL,23,5,216,2.8,4.2,0.68,0,0,,2.8,4.2,0.68,0.3,0.3,1,4.3,8.7,13,2.5,0.7,2.2,3.2,6.7,6
57,Joel Bolomboy\bolomjo01,PF,24,MIL,6,0,38,2.8,5.7,0.5,0,0.9,0,2.8,4.7,0.6,2.8,5.7,0.5,5.7,3.8,9.5,0,1.9,0,1.9,2.8,8.5
58,Devin Booker\bookede01,SG,21,PHO,54,54,1865,8.8,20.3,0.432,2.8,7.4,0.383,5.9,12.9,0.46,5.6,6.4,0.878,0.5,4.2,4.7,4.9,0.9,0.3,3.7,3.2,26
59,Trevor Booker\booketr01,PF,30,TOT,68,7,1158,5.5,10.7,0.516,0.2,1,0.242,5.3,9.6,0.545,2.1,2.9,0.71,3.6,6.2,9.9,2.5,0.9,0.7,1.8,3.7,13.3
59,Trevor Booker\booketr01,PF,30,BRK,18,6,395,7,13.7,0.513,0.3,1.1,0.25,6.7,12.6,0.536,2.2,3.9,0.558,3.5,7.4,10.8,3.5,0.7,0.5,2.7,3.9,16.5
59,Trevor Booker\booketr01,PF,30,PHI,33,0,494,4.4,7.9,0.56,0.1,0.5,0.286,4.3,7.4,0.578,2.3,2.8,0.821,3.4,5.5,8.9,2,1.2,0.8,1.5,3.6,11.4
59,Trevor Booker\booketr01,PF,30,IND,17,1,269,5.2,11.2,0.464,0.4,1.9,0.214,4.8,9.4,0.514,1.3,1.5,0.909,4.3,6,10.3,2.3,0.5,0.7,1.2,3.5,12.2
60,Chris Boucher\bouchch01,PF,25,GSW,1,0,1,0,36,0,0,36,0,0,0,,0,0,,0,36,36,0,0,0,0,0,0
61,Avery Bradley\bradlav01,SG,27,TOT,46,46,1433,6.5,15.7,0.414,1.9,5.1,0.369,4.6,10.6,0.436,1.6,2.1,0.768,0.6,2.4,2.9,2.4,1.3,0.2,2.5,2.3,16.5
61,Avery Bradley\bradlav01,SG,27,DET,40,40,1268,6.6,16.2,0.409,2.1,5.5,0.381,4.5,10.7,0.423,1.7,2.3,0.763,0.5,2.1,2.7,2.4,1.3,0.2,2.6,2.3,17.1
61,Avery Bradley\bradlav01,SG,27,LAC,6,6,165,5.7,12,0.473,0.2,2,0.111,5.5,10,0.543,0.4,0.4,1,0.7,4.1,4.8,2.4,1.1,0.2,1.7,2.6,12
62,Tony Bradley\bradlto01,C,20,UTA,9,0,29,3.7,13.7,0.273,0,1.2,0,3.7,12.4,0.3,2.5,2.5,1,5,8.7,13.7,1.2,0,0,0,1.2,9.9
63,Corey Brewer\breweco01,SF-SG,31,TOT,72,18,1208,4.2,9.4,0.449,0.9,3.3,0.282,3.3,6.1,0.539,1.9,2.7,0.722,1.3,3.3,4.6,1.9,2.4,0.4,1.5,4.1,11.3
63,Corey Brewer\breweco01,SF,31,LAL,54,2,694,4,8.9,0.453,0.4,2.2,0.186,3.6,6.7,0.543,1.8,2.6,0.667,1.2,3.6,4.8,2.1,2.1,0.4,2,4.3,10.3
63,Corey Brewer\breweco01,SG,31,OKC,18,16,514,4.5,10.1,0.444,1.6,4.7,0.343,2.9,5.4,0.532,2.2,2.7,0.795,1.4,2.9,4.3,1.7,2.7,0.4,0.8,3.9,12.7
64,Malcolm Brogdon\brogdma01,PG,25,MIL,48,20,1436,6.1,12.6,0.485,1.6,4,0.385,4.6,8.6,0.532,1.9,2.1,0.882,0.6,3.3,3.9,3.8,1,0.3,1.7,3.2,15.7
65,Aaron Brooks\brookaa01,PG,33,MIN,32,1,189,5.3,13.1,0.406,2.1,5.9,0.355,3.2,7.2,0.447,1.5,2.1,0.727,1.3,1.9,3.2,3.8,1.1,0,2.1,5.3,14.3
66,Dillon Brooks\brookdi01,SF,22,MEM,82,74,2350,5.2,11.8,0.44,1.4,4,0.356,3.8,7.8,0.484,1.9,2.5,0.747,0.8,3.2,3.9,2.1,1.1,0.3,1.9,3.6,13.8
67,MarShon Brooks\brookma01,SG,29,MEM,7,1,193,9.5,19,0.5,3.5,6,0.594,6,13.1,0.457,3.7,4.3,0.87,1.5,2.4,3.9,4.7,2.1,0.6,3,1.1,26.3
68,Anthony Brown\brownan02,SF,25,MIN,1,0,4,9,9,1,9,9,1,0,0,,0,0,,0,0,0,9,0,0,0,0,27
69,Bobby Brown\brownbo02,PG,33,HOU,20,0,115,5.9,18.2,0.328,3.4,12.5,0.275,2.5,5.6,0.444,0.3,0.6,0.5,0,2.2,2.2,3.4,1.3,0,2.8,1.9,15.7
70,Jaylen Brown\brownja02,SG,21,BOS,70,70,2152,6.2,13.4,0.465,2,5.1,0.395,4.2,8.3,0.507,2.5,3.9,0.644,1.1,4.7,5.8,1.9,1.2,0.4,2.1,3,17
71,Lorenzo Brown\brownlo01,PG,27,TOR,14,0,139,3.6,8.8,0.412,0.5,3.1,0.167,3.1,5.7,0.545,0.5,0.5,1,0.3,3.6,3.9,3.4,1.3,0,0.8,1.8,8.3
72,Markel Brown\brownma02,SG,26,HOU,4,0,31,2.3,8.1,0.286,1.2,5.8,0.2,1.2,2.3,0.5,0,0,,1.2,4.6,5.8,2.3,0,0,2.3,7,5.8
